positive,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal ."
positive,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth ."
positive,effective but too-tepid biopic
positive,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start ."
positive,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one ."
positive,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .
positive,offers that rare combination of entertainment and education .
positive,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .
positive,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .
positive,take care of my cat offers a refreshingly different slice of asian cinema .
positive,"this is a film well worth seeing , talking and singing heads and all ."
positive,what really surprises about wisegirls is its low-key quality and genuine tenderness .
positive,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind ."
positive,"one of the greatest family-oriented , fantasy-adventure movies ever ."
positive,"ultimately , it ponders the reasons we need stories so much ."
positive,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .
positive,illuminating if overly talky documentary .
positive,a masterpiece four years in the making .
positive,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries ."
positive,offers a breath of the fresh air of true sophistication .
positive,"a thoughtful , provocative , insistently humanizing film ."
positive,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
positive,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .
positive,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare ."
positive,scores a few points for doing what it does with a dedicated and good-hearted professionalism .
positive,"occasionally melodramatic , it's also extremely effective ."
positive,spiderman rocks
positive,an idealistic love story that brings out the latent 15-year-old romantic in everyone .
positive,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts ."
positive,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .
positive,"guaranteed to move anyone who ever shook , rattled , or rolled ."
positive,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview ."
positive,"light , cute and forgettable ."
positive,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid ."
positive,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy ."
positive,"though everything might be literate and smart , it never took off and always seemed static ."
positive,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days"
positive,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn ."
positive,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ."
positive,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series ."
positive,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg ."
positive,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride ."
positive,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .
positive,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '"
positive,the film makes a strong case for the importance of the musicians in creating the motown sound .
positive,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat ."
positive,gosling provides an amazing performance that dwarfs everything else in the film .
positive,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know ."
positive,tender yet lacerating and darkly funny fable .
positive,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .
positive,an engaging overview of johnson's eccentric career .
positive,"in its ragged , cheap and unassuming way , the movie works ."
positive,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .
positive,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open ."
positive,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart ."
positive,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse ."
positive,"manages to be original , even though it rips off many of its ideas ."
positive,"singer/composer bryan adams contributes a slew of songs — a few potential hits , a few more simply intrusive to the story — but the whole package certainly captures the intended , er , spirit of the piece ."
positive,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .
positive,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow ."
positive,"a pleasant enough movie , held together by skilled ensemble actors ."
positive,this is the best american movie about troubled teens since 1998's whatever .
positive,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .
positive,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .
positive,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense ."
positive,the invincible werner herzog is alive and well and living in la
positive,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start ."
positive,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .
positive,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .
positive,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .
positive,"a taut , intelligent psychological drama ."
positive,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .
positive,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort ."
positive,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director ."
positive,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .
positive,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !"
positive,"a screenplay more ingeniously constructed than "" memento """
positive,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next ."
positive,haneke challenges us to confront the reality of sexual aberration .
positive,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .
positive,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured ."
positive,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances ."
positive,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border ."
positive,an imaginative comedy/thriller .
positive,"a few artsy flourishes aside , narc is as gritty as a movie gets these days ."
positive,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at ."
positive,"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema ."
positive,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth ."
positive,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes ."
positive,a sports movie with action that's exciting on the field and a story you care about off it .
positive,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere ."
positive,the tenderness of the piece is still intact .
positive,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself"
positive,"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated ."
positive,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .
positive,"if nothing else , this movie introduces a promising , unusual kind of psychological horror ."
positive,"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography ."
positive,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .
positive,. . . a roller-coaster ride of a movie
positive,"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory ."
positive,"chicago is sophisticated , brash , sardonic , completely joyful in its execution ."
positive,steve irwin's method is ernest hemmingway at accelerated speed and volume .
positive,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .
positive,"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique ."
positive,"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure ."
positive,"if it's possible for a sequel to outshine the original , then sl2 does just that ."
positive,a romantic comedy that operates by the rules of its own self-contained universe .
positive,"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip ."
positive,the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm
positive,"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists ."
positive,a feel-good picture in the best sense of the term .
positive,"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery ."
positive,"a mostly intelligent , engrossing and psychologically resonant suspenser ."
positive,"it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self ."
positive,"hip-hop has a history , and it's a metaphor for this love story ."
